model,item,n,accuracy
GPT-5.4,r09,61,1.0
GPT-5.4,r10,61,0.9344262295081968
GPT-5.5,w01,61,0.9836065573770492
GPT-5.5,s07,61,0.9672131147540983
GPT-5.5,s08,61,1.0
GPT-5.5,s10,61,1.0
GPT-5.5,w08,61,1.0
GPT-5.5,c07,61,0.9672131147540983
GPT-5.5,c10,61,1.0
GPT-5.5,w11,61,0.9836065573770492
GPT-5.5,w13,61,1.0
GPT-5.5,w14,61,0.9672131147540983
GPT-5.5,e08,61,1.0
GPT-5.5,w15,61,0.9836065573770492
GPT-5.5,w19,61,0.5573770491803278
GPT-5.5,pw07,61,1.0
GPT-5.5,w22,61,0.5081967213114754
GPT-5.5,pw09,61,1.0
GPT-5.5,pw11,61,1.0
GPT-5.5,w25,61,1.0
GPT-5.5,r08,61,1.0
GPT-5.5,w28,61,0.9344262295081968
GPT-5.5,r09,61,1.0
GPT-5.5,r10,61,0.9344262295081968
Grok-4-20,w01,61,0.9344262295081968
Grok-4-20,s07,61,0.7868852459016393
Grok-4-20,s08,61,0.9836065573770492
Grok-4-20,s10,61,0.9836065573770492
Grok-4-20,w08,61,0.8852459016393442
Grok-4-20,c07,61,0.9672131147540983
Grok-4-20,c10,61,0.9672131147540983
Grok-4-20,w11,61,0.7704918032786885
Grok-4-20,w13,61,0.9672131147540983
Grok-4-20,w14,61,0.9016393442622951
Grok-4-20,e08,61,0.9672131147540983
Grok-4-20,w15,61,0.9836065573770492
Grok-4-20,w19,61,0.9672131147540983
Grok-4-20,pw07,61,0.9672131147540983
Grok-4-20,w22,61,0.5737704918032787
Grok-4-20,pw09,61,0.8524590163934426
Grok-4-20,pw11,61,1.0
Grok-4-20,w25,61,0.9672131147540983
Grok-4-20,r08,61,1.0
Grok-4-20,w28,61,0.639344262295082
Grok-4-20,r09,61,0.9672131147540983
Grok-4-20,r10,61,0.9672131147540983
Gemini 3 Flash,w01,60,0.9666666666666667
Gemini 3 Flash,s07,60,0.9333333333333333
Gemini 3 Flash,s08,60,1.0
Gemini 3 Flash,s10,60,1.0
Gemini 3 Flash,w08,60,0.9666666666666667
Gemini 3 Flash,c07,54,1.0
Gemini 3 Flash,c10,60,0.9666666666666667
Gemini 3 Flash,w11,60,0.31666666666666665
Gemini 3 Flash,w13,60,0.9666666666666667
Gemini 3 Flash,w14,60,0.9666666666666667
Gemini 3 Flash,e08,60,0.9833333333333333
Gemini 3 Flash,w15,60,1.0
Gemini 3 Flash,w19,60,0.38333333333333336
Gemini 3 Flash,pw07,60,0.9666666666666667
Gemini 3 Flash,w22,60,0.06666666666666667
Gemini 3 Flash,pw09,60,1.0
Gemini 3 Flash,pw11,60,1.0
Gemini 3 Flash,w25,60,0.9666666666666667
Gemini 3 Flash,r08,60,1.0
Gemini 3 Flash,w28,60,1.0
Gemini 3 Flash,r09,60,1.0
Gemini 3 Flash,r10,60,0.9666666666666667
